nome_do_arquivo;classe_detectada;pontuacao_de_confianca;coordenadas_caixa
image_000.jpg;backpack;0.30707263946533203;[36.09641647338867, 173.67250061035156, 113.94061279296875, 292.18768310546875]
image_001.jpg;backpack;0.26929301023483276;[35.94336700439453, 172.85792541503906, 114.47935485839844, 292.0194396972656]
image_002.jpg;backpack;0.7317298650741577;[36.6180305480957, 172.44834899902344, 115.70954132080078, 291.9771423339844]
image_002.jpg;person;0.5648418068885803;[307.5002136230469, 105.82674407958984, 402.6612548828125, 276.3160400390625]
image_002.jpg;person;0.3049321472644806;[378.65142822265625, 120.4349594116211, 408.3614501953125, 160.5415496826172]
image_002.jpg;suitcase;0.27661946415901184;[266.38092041015625, 192.5445098876953, 301.6929016113281, 230.11769104003906]
image_002.jpg;suitcase;0.2513323426246643;[266.56591796875, 193.4361572265625, 301.6438903808594, 230.20822143554688]
image_003.jpg;person;0.8385510444641113;[289.1642150878906, 96.96671295166016, 329.8810729980469, 222.46580505371094]
image_003.jpg;backpack;0.7578451633453369;[36.2359619140625, 172.8652801513672, 114.20574951171875, 292.2817687988281]
image_003.jpg;person;0.5650439262390137;[378.1368408203125, 115.09134674072266, 405.568603515625, 164.429931640625]
image_003.jpg;suitcase;0.5197866559028625;[306.61126708984375, 148.10833740234375, 402.863525390625, 276.19854736328125]
image_003.jpg;suitcase;0.4896368980407715;[266.7012634277344, 192.1756134033203, 300.8677673339844, 230.00572204589844]
image_003.jpg;backpack;0.39272427558898926;[306.15948486328125, 148.26629638671875, 402.8973388671875, 276.0599365234375]
image_004.jpg;person;0.848287045955658;[257.2544250488281, 88.89712524414062, 310.7406311035156, 216.99020385742188]
image_004.jpg;person;0.8108372688293457;[141.8394317626953, 36.782310485839844, 362.5118713378906, 278.4888000488281]
image_004.jpg;suitcase;0.5709500312805176;[272.54229736328125, 191.6937713623047, 302.4577331542969, 230.81797790527344]
image_004.jpg;backpack;0.43068575859069824;[306.69573974609375, 147.8440399169922, 402.5725402832031, 276.01324462890625]
image_005.jpg;person;0.8752328753471375;[108.66426086425781, 61.805606842041016, 191.97515869140625, 249.62843322753906]
image_005.jpg;suitcase;0.8581458926200867;[72.84306335449219, 161.775634765625, 147.2807159423828, 282.8472595214844]
image_005.jpg;person;0.8438615202903748;[291.1454162597656, 52.14610290527344, 378.0844421386719, 224.70321655273438]
image_005.jpg;backpack;0.4349909722805023;[337.59942626953125, 157.1299591064453, 414.9261169433594, 283.6299743652344]
image_005.jpg;suitcase;0.34272560477256775;[266.36712646484375, 191.73114013671875, 300.2856750488281, 229.84303283691406]
image_006.jpg;person;0.8963446617126465;[320.3156433105469, 49.75917053222656, 396.4794006347656, 172.27496337890625]
image_006.jpg;suitcase;0.850432813167572;[65.43467712402344, 157.525390625, 148.98240661621094, 291.4961242675781]
image_006.jpg;person;0.8462116122245789;[102.560302734375, 69.28404998779297, 191.70252990722656, 250.5645751953125]
image_006.jpg;backpack;0.7640592455863953;[323.8980407714844, 155.19163513183594, 412.6482849121094, 289.4198303222656]
image_006.jpg;suitcase;0.6116952896118164;[324.0188903808594, 155.31651306152344, 412.3785705566406, 289.5560607910156]
image_006.jpg;suitcase;0.4312251806259155;[266.4937744140625, 192.10720825195312, 301.2052917480469, 230.0611572265625]
image_007.jpg;person;0.889457106590271;[178.4445037841797, 81.28196716308594, 248.40249633789062, 238.2332763671875]
image_007.jpg;person;0.8596920967102051;[318.4843444824219, 50.73046112060547, 388.6159973144531, 172.2915496826172]
image_007.jpg;suitcase;0.7402220368385315;[324.9381408691406, 156.00538635253906, 412.7705078125, 289.3256530761719]
image_007.jpg;backpack;0.6758201122283936;[324.921142578125, 156.13400268554688, 412.9439697265625, 289.383056640625]
image_007.jpg;suitcase;0.4679315388202667;[266.32373046875, 192.17889404296875, 301.482421875, 230.06288146972656]
image_007.jpg;backpack;0.359109103679657;[52.31064224243164, 151.97146606445312, 145.26141357421875, 304.2453918457031]
image_008.jpg;backpack;0.7503577470779419;[324.5201416015625, 157.48289489746094, 413.1305236816406, 289.6875]
image_008.jpg;suitcase;0.49923786520957947;[51.313873291015625, 152.1189727783203, 179.31825256347656, 303.58697509765625]
image_008.jpg;person;0.3994208574295044;[306.0703125, 100.22735595703125, 361.5602111816406, 185.79287719726562]
image_008.jpg;suitcase;0.3622276186943054;[266.5588684082031, 191.76402282714844, 300.8349609375, 229.88758850097656]
image_008.jpg;backpack;0.3321535587310791;[51.24631881713867, 152.2471923828125, 179.26718139648438, 303.10235595703125]
image_008.jpg;person;0.32730039954185486;[376.9358215332031, 116.8954086303711, 407.9469299316406, 166.90040588378906]
image_008.jpg;person;0.323718786239624;[376.836181640625, 116.82495880126953, 408.2481689453125, 166.96324157714844]
image_008.jpg;person;0.3075259029865265;[376.8243103027344, 116.49407958984375, 408.2418212890625, 166.8462371826172]
image_008.jpg;person;0.30442965030670166;[376.9468078613281, 116.85885620117188, 408.2497863769531, 166.644287109375]
image_008.jpg;person;0.29935023188591003;[376.9788513183594, 116.5721435546875, 408.19915771484375, 166.91026306152344]
image_008.jpg;person;0.28909918665885925;[376.9951171875, 116.75646209716797, 408.2154235839844, 166.6826934814453]
image_008.jpg;person;0.2855595052242279;[377.0836181640625, 116.75712585449219, 408.3646545410156, 166.98777770996094]
image_008.jpg;person;0.2844250798225403;[376.7967834472656, 116.62433624267578, 408.23358154296875, 166.83074951171875]
image_008.jpg;person;0.27234625816345215;[376.8484802246094, 116.97906494140625, 408.3543701171875, 166.6754608154297]
image_008.jpg;person;0.2530665993690491;[376.8479919433594, 116.99417114257812, 408.64666748046875, 166.5050506591797]
image_009.jpg;backpack;0.8371165990829468;[324.17071533203125, 158.04515075683594, 412.509033203125, 289.34625244140625]
image_009.jpg;backpack;0.44515591859817505;[53.09157943725586, 152.36729431152344, 179.5401611328125, 302.8867492675781]
image_009.jpg;suitcase;0.39618387818336487;[266.4885559082031, 192.0501251220703, 300.8226013183594, 229.69334411621094]
image_010.jpg;backpack;0.8413316011428833;[324.61590576171875, 165.05462646484375, 412.0693054199219, 290.4496765136719]
image_010.jpg;person;0.6692129969596863;[213.22540283203125, 156.57550048828125, 251.44676208496094, 217.23768615722656]
image_010.jpg;suitcase;0.34733492136001587;[266.59423828125, 192.39051818847656, 301.63128662109375, 229.96360778808594]
image_010.jpg;suitcase;0.33483943343162537;[221.69760131835938, 189.7969512939453, 241.37078857421875, 213.40924072265625]
image_010.jpg;backpack;0.2851497530937195;[51.59083557128906, 151.88980102539062, 145.91995239257812, 303.2942199707031]
image_011.jpg;person;0.7196854948997498;[279.15118408203125, 109.40629577636719, 322.9822692871094, 221.56398010253906]
image_011.jpg;backpack;0.6843933463096619;[323.834228515625, 159.34791564941406, 412.4481201171875, 289.77716064453125]
image_011.jpg;backpack;0.5105576515197754;[51.46843719482422, 152.23988342285156, 179.6570587158203, 302.94384765625]
image_011.jpg;suitcase;0.41230931878089905;[266.6289367675781, 194.15786743164062, 301.1495361328125, 229.9757080078125]
image_012.jpg;backpack;0.8354199528694153;[324.36383056640625, 158.31130981445312, 413.2171630859375, 289.510986328125]
image_012.jpg;suitcase;0.6333004832267761;[266.265625, 191.9279022216797, 300.7789611816406, 230.01651000976562]
image_012.jpg;person;0.559906542301178;[304.0237731933594, 72.98880767822266, 349.1070556640625, 215.1604461669922]
image_012.jpg;person;0.5414928793907166;[246.10670471191406, 98.64179229736328, 305.94805908203125, 224.8929443359375]
image_012.jpg;person;0.2535782754421234;[246.17678833007812, 99.01294708251953, 287.7893371582031, 196.30604553222656]
image_012.jpg;backpack;0.250224232673645;[51.92418670654297, 152.11141967773438, 146.39700317382812, 303.252197265625]
image_013.jpg;person;0.8181676864624023;[202.18521118164062, 79.95045471191406, 252.14002990722656, 238.13558959960938]
image_013.jpg;suitcase;0.47322383522987366;[51.58872985839844, 152.09596252441406, 179.2831573486328, 304.1470947265625]
image_013.jpg;person;0.46795812249183655;[320.42938232421875, 76.47413635253906, 408.65936279296875, 256.6958312988281]
image_013.jpg;backpack;0.4443897604942322;[51.348289489746094, 152.2793426513672, 178.8828887939453, 303.8112487792969]
image_013.jpg;backpack;0.3497251272201538;[319.3442077636719, 125.32306671142578, 375.4022521972656, 211.47622680664062]
image_014.jpg;person;0.8336443305015564;[195.8172607421875, 40.30582046508789, 280.8725280761719, 259.6647033691406]
image_014.jpg;backpack;0.610436201095581;[318.9459533691406, 138.29444885253906, 365.2433776855469, 207.8607635498047]
image_015.jpg;person;0.6767495274543762;[194.01675415039062, 43.422142028808594, 282.1759338378906, 260.02813720703125]
image_015.jpg;person;0.36562350392341614;[379.4293518066406, 116.02827453613281, 413.5396423339844, 253.19461059570312]
image_015.jpg;person;0.2636506259441376;[338.9302673339844, 71.68880462646484, 413.0315856933594, 253.3990936279297]
image_016.jpg;person;0.7783937454223633;[318.5164794921875, 105.03700256347656, 357.50726318359375, 223.8086700439453]
image_016.jpg;person;0.7325032353401184;[365.6527099609375, 92.41282653808594, 413.1329650878906, 240.52166748046875]
image_016.jpg;person;0.6462940573692322;[194.7325439453125, 42.82502365112305, 281.26763916015625, 259.8288269042969]
image_017.jpg;person;0.8077466487884521;[192.37867736816406, 46.646141052246094, 281.194091796875, 259.77191162109375]
image_017.jpg;person;0.681595504283905;[309.7742919921875, 47.0151481628418, 406.9873962402344, 262.64154052734375]
image_018.jpg;person;0.7494242191314697;[139.29287719726562, 38.973880767822266, 283.0154113769531, 293.4303283691406]
image_018.jpg;person;0.3918042778968811;[318.6253662109375, 130.02471923828125, 413.7079772949219, 266.14691162109375]
image_019.jpg;person;0.5680121779441833;[148.8944854736328, 37.98656463623047, 306.1969909667969, 293.4058532714844]
image_019.jpg;person;0.3553448021411896;[274.5429382324219, 39.787315368652344, 413.4835510253906, 264.48101806640625]
image_020.jpg;person;0.5676847100257874;[317.5728759765625, 49.12257766723633, 413.2294921875, 260.47723388671875]
image_020.jpg;person;0.4021594524383545;[132.90896606445312, 43.79465103149414, 257.6405334472656, 151.57785034179688]
image_020.jpg;person;0.28683990240097046;[149.97389221191406, 43.37791061401367, 269.84393310546875, 280.1471862792969]
image_021.jpg;person;0.5320573449134827;[166.2897491455078, 49.07445526123047, 267.1132507324219, 272.42333984375]
image_021.jpg;person;0.47718119621276855;[174.21981811523438, 45.600704193115234, 253.95054626464844, 95.24910736083984]
image_021.jpg;person;0.31194931268692017;[326.3651428222656, 64.09103393554688, 408.73291015625, 259.5832214355469]
image_022.jpg;person;0.5125157833099365;[323.7490539550781, 56.161434173583984, 414.41668701171875, 258.457763671875]
image_022.jpg;person;0.4253765642642975;[165.65682983398438, 50.56523132324219, 271.8552551269531, 271.9914245605469]
image_023.jpg;person;0.41977259516716003;[159.67715454101562, 45.19892883300781, 271.8839111328125, 272.05975341796875]
image_023.jpg;person;0.38299113512039185;[326.7977294921875, 56.678855895996094, 410.0745849609375, 257.7339172363281]
image_024.jpg;suitcase;0.9355908632278442;[152.96859741210938, 111.02686309814453, 254.6503448486328, 249.33348083496094]
image_024.jpg;person;0.5223988890647888;[149.85498046875, 43.45508575439453, 257.23480224609375, 323.8645935058594]
image_024.jpg;person;0.4747307300567627;[343.94940185546875, 71.9217758178711, 414.0169372558594, 258.7194519042969]
image_024.jpg;person;0.46286749839782715;[165.53713989257812, 42.74443435668945, 257.47357177734375, 121.09500885009766]
image_024.jpg;person;0.292310506105423;[147.05819702148438, 42.207767486572266, 257.34332275390625, 151.67596435546875]
image_025.jpg;person;0.8994534611701965;[154.8175048828125, 37.86284255981445, 354.2841491699219, 232.2999267578125]
image_025.jpg;person;0.45283108949661255;[308.30670166015625, 45.04288101196289, 409.5968933105469, 260.7841491699219]
image_026.jpg;person;0.9065845012664795;[147.9448699951172, 39.28483200073242, 330.0550537109375, 229.24734497070312]
image_026.jpg;person;0.5689292550086975;[317.1461181640625, 54.786197662353516, 409.3456726074219, 251.907958984375]
image_027.jpg;person;0.864811360836029;[201.5601806640625, 63.773719787597656, 265.9093322753906, 218.94110107421875]
image_027.jpg;person;0.394043505191803;[314.9386901855469, 54.598575592041016, 410.60980224609375, 264.0187683105469]
image_028.jpg;person;0.9085631370544434;[217.27618408203125, 82.77706146240234, 272.71771240234375, 219.24053955078125]
image_028.jpg;person;0.47654271125793457;[293.16827392578125, 46.22600555419922, 396.6653137207031, 253.34249877929688]
image_029.jpg;person;0.9058287143707275;[183.25155639648438, 73.19426727294922, 300.73651123046875, 262.08660888671875]
image_029.jpg;person;0.7546390891075134;[297.93914794921875, 45.47304153442383, 397.2064514160156, 252.68228149414062]
image_030.jpg;person;0.863448441028595;[271.246826171875, 87.06597900390625, 325.3043518066406, 227.956298828125]
image_030.jpg;person;0.5755641460418701;[311.56317138671875, 54.04681396484375, 398.032958984375, 254.17787170410156]
image_031.jpg;person;0.8407139182090759;[290.59375, 42.31399917602539, 375.96295166015625, 252.33389282226562]
image_031.jpg;person;0.8352305293083191;[270.1622314453125, 90.47549438476562, 320.82806396484375, 227.06748962402344]
image_031.jpg;suitcase;0.3553377389907837;[178.09634399414062, 227.27328491210938, 269.89886474609375, 294.5592956542969]
image_032.jpg;person;0.7313262820243835;[266.1199035644531, 96.23188781738281, 312.6791076660156, 216.87969970703125]
image_033.jpg;person;0.8989989757537842;[277.67633056640625, 105.28872680664062, 324.1493225097656, 221.23097229003906]
image_033.jpg;person;0.7879315614700317;[329.6639709472656, 105.70848846435547, 370.64105224609375, 222.2091827392578]
image_033.jpg;chair;0.3048405051231384;[313.87420654296875, 171.26585388183594, 348.34002685546875, 220.1661834716797]
image_033.jpg;chair;0.30263444781303406;[148.6446075439453, 247.48678588867188, 335.6897888183594, 395.0809326171875]
image_034.jpg;person;0.8364012837409973;[272.7790222167969, 101.57453918457031, 315.4588928222656, 218.2768096923828]
image_034.jpg;person;0.5123314261436462;[352.1237487792969, 111.10253143310547, 387.2454528808594, 224.67373657226562]
image_034.jpg;chair;0.28734949231147766;[149.03738403320312, 247.20004272460938, 335.3464660644531, 394.44403076171875]
image_035.jpg;person;0.8370072245597839;[272.1181640625, 103.23497009277344, 321.1849365234375, 222.04270935058594]
image_035.jpg;person;0.7646728754043579;[302.0984191894531, 61.9576301574707, 380.1035461425781, 230.08775329589844]
image_036.jpg;person;0.8772284984588623;[267.9079895019531, 41.10149002075195, 355.4775695800781, 258.0531311035156]
image_036.jpg;person;0.6773293018341064;[263.977294921875, 116.10133361816406, 294.21612548828125, 219.70884704589844]
image_036.jpg;person;0.5555434226989746;[358.9818420410156, 113.96540832519531, 394.9312744140625, 219.93045043945312]
image_036.jpg;suitcase;0.5139956474304199;[329.15325927734375, 128.96475219726562, 377.858154296875, 211.75827026367188]
image_037.jpg;person;0.7424823045730591;[319.68121337890625, 89.23825073242188, 367.4795227050781, 226.62823486328125]
image_037.jpg;suitcase;0.4247174561023712;[190.98580932617188, 111.15592193603516, 281.4649658203125, 265.7666015625]
image_037.jpg;person;0.26296037435531616;[191.5348663330078, 47.30561828613281, 247.06365966796875, 119.12923431396484]
image_037.jpg;backpack;0.2509026825428009;[190.8557586669922, 110.93433380126953, 281.58148193359375, 264.73779296875]
image_037.jpg;backpack;0.25028279423713684;[191.0778045654297, 111.00006103515625, 281.5230712890625, 265.055908203125]
image_038.jpg;person;0.8725972175598145;[331.6275329589844, 72.16999816894531, 384.836181640625, 224.9326629638672]
image_038.jpg;person;0.8280742764472961;[207.61474609375, 39.919891357421875, 290.9353942871094, 155.85072326660156]
image_038.jpg;suitcase;0.417510986328125;[151.96380615234375, 147.35792541503906, 317.1537170410156, 349.099609375]
image_039.jpg;person;0.8781697750091553;[265.30609130859375, 99.88140106201172, 374.43597412109375, 248.1679229736328]
image_039.jpg;backpack;0.5422689318656921;[163.0704803466797, 161.99269104003906, 294.8991394042969, 332.6846618652344]
image_039.jpg;suitcase;0.49178972840309143;[164.03822326660156, 161.43533325195312, 289.2027587890625, 331.7988586425781]
image_039.jpg;person;0.2514137327671051;[368.07879638671875, 82.55164337158203, 414.1239318847656, 275.8199768066406]
image_040.jpg;person;0.883381724357605;[264.87506103515625, 98.96829223632812, 377.7370300292969, 248.89279174804688]
image_040.jpg;suitcase;0.5041083693504333;[169.3470001220703, 159.77793884277344, 285.829345703125, 331.43890380859375]
image_040.jpg;backpack;0.47988325357437134;[168.81202697753906, 159.5474395751953, 290.2287292480469, 332.3746643066406]
image_041.jpg;person;0.8696233630180359;[266.13287353515625, 100.6201400756836, 377.5904846191406, 248.4261474609375]
image_041.jpg;suitcase;0.6703870296478271;[169.36376953125, 158.8787384033203, 285.0688781738281, 332.4471740722656]
image_042.jpg;person;0.7579731345176697;[296.9873352050781, 76.73292541503906, 379.27105712890625, 249.4167938232422]
image_042.jpg;person;0.3864166736602783;[208.60472106933594, 119.30970001220703, 337.770263671875, 328.6658630371094]
image_042.jpg;clock;0.2707420587539673;[3.8387739658355713, 1.4997375011444092, 463.06488037109375, 384.5015869140625]
image_043.jpg;cake;0.5509239435195923;[260.72528076171875, 154.45079040527344, 396.9608459472656, 337.55255126953125]
image_044.jpg;cake;0.4404423236846924;[9.374775886535645, 10.196462631225586, 460.0343017578125, 393.73162841796875]
image_045.jpg;suitcase;0.6249427199363708;[235.78500366210938, 160.36761474609375, 365.32867431640625, 335.08233642578125]
