nome_do_arquivo;classe_detectada;pontuacao_de_confianca;coordenadas_caixa
image_000.jpg;suitcase;0.42808690667152405;[247.09857177734375, 161.16354370117188, 344.3365173339844, 262.31683349609375]
image_001.jpg;backpack;0.2790404260158539;[248.4137725830078, 162.10723876953125, 349.0162658691406, 262.18328857421875]
image_002.jpg;person;0.6040431261062622;[273.21435546875, 129.7691650390625, 307.85150146484375, 176.79885864257812]
image_002.jpg;backpack;0.31392860412597656;[248.41571044921875, 159.4509735107422, 344.0870666503906, 262.1748962402344]
image_003.jpg;person;0.8379250168800354;[231.00466918945312, 129.87884521484375, 262.74737548828125, 214.2662811279297]
image_003.jpg;suitcase;0.4489005506038666;[248.3243865966797, 163.05628967285156, 344.2274169921875, 262.1319274902344]
image_003.jpg;person;0.44302549958229065;[312.6278381347656, 125.04630279541016, 362.8236389160156, 200.53985595703125]
image_003.jpg;suitcase;0.33287695050239563;[10.930061340332031, 180.057861328125, 115.53453063964844, 283.6559753417969]
image_003.jpg;person;0.3300924003124237;[312.31463623046875, 125.33985137939453, 358.2359619140625, 179.34420776367188]
image_004.jpg;person;0.7889974117279053;[215.10218811035156, 125.23635864257812, 257.7110290527344, 217.4888153076172]
image_004.jpg;suitcase;0.5150140523910522;[247.08651733398438, 160.9618377685547, 343.9761047363281, 262.1632385253906]
image_004.jpg;person;0.4002913236618042;[101.7041015625, 62.41762161254883, 294.6672668457031, 250.6322021484375]
image_004.jpg;suitcase;0.3171747624874115;[174.208984375, 279.78466796875, 285.13323974609375, 399.9710388183594]
image_005.jpg;person;0.8705787658691406;[114.08870697021484, 94.51813507080078, 176.32440185546875, 235.4138946533203]
image_005.jpg;person;0.8405634164810181;[243.44309997558594, 78.74051666259766, 312.57489013671875, 218.0479736328125]
image_005.jpg;suitcase;0.5860594511032104;[70.76847839355469, 173.57020568847656, 146.4495086669922, 263.3472900390625]
image_005.jpg;backpack;0.47133249044418335;[270.6492614746094, 166.3997039794922, 367.3604431152344, 271.0502624511719]
image_005.jpg;person;0.452644944190979;[309.6192932128906, 98.60360717773438, 363.26910400390625, 174.83663940429688]
image_005.jpg;suitcase;0.43862465023994446;[271.044921875, 166.4275360107422, 367.0473327636719, 270.96990966796875]
image_005.jpg;suitcase;0.3715991675853729;[214.60650634765625, 279.7198791503906, 286.31085205078125, 399.6576232910156]
image_005.jpg;suitcase;0.3062657117843628;[219.73391723632812, 195.22537231445312, 241.53895568847656, 217.3985595703125]
image_005.jpg;suitcase;0.27480825781822205;[175.6556854248047, 314.31396484375, 243.991943359375, 399.93194580078125]
image_006.jpg;person;0.8635783195495605;[259.4830322265625, 68.35906982421875, 340.15655517578125, 181.05596923828125]
