nome_do_arquivo;classe_detectada;pontuacao_de_confianca;coordenadas_caixa
image_000.jpg;backpack;0.8722012042999268;[127.77571868896484, 143.703369140625, 274.95428466796875, 327.09039306640625]
image_000.jpg;chair;0.2829678952693939;[346.2930908203125, 146.17115783691406, 402.58270263671875, 234.68453979492188]
image_001.jpg;backpack;0.8584889769554138;[127.79991912841797, 143.8651123046875, 274.5078125, 327.1377868652344]
image_001.jpg;chair;0.31025996804237366;[345.5091552734375, 152.1232452392578, 400.5744323730469, 233.57644653320312]
image_002.jpg;backpack;0.8652932643890381;[127.85601806640625, 143.8727569580078, 276.6404113769531, 327.07623291015625]
image_002.jpg;chair;0.4058765470981598;[300.0623474121094, 154.99659729003906, 354.7222595214844, 245.65545654296875]
image_002.jpg;chair;0.3857543468475342;[345.07080078125, 143.2733917236328, 403.389404296875, 234.58551025390625]
image_003.jpg;backpack;0.8171430826187134;[127.95063781738281, 143.66360473632812, 273.43231201171875, 327.5051574707031]
image_003.jpg;chair;0.2854664623737335;[346.9126892089844, 138.8887939453125, 409.7671203613281, 234.9027862548828]
image_004.jpg;backpack;0.8486937880516052;[128.52740478515625, 143.69447326660156, 275.8500061035156, 327.57958984375]
image_004.jpg;chair;0.3782683312892914;[344.6875305175781, 150.8897705078125, 401.3060302734375, 235.06004333496094]
image_005.jpg;suitcase;0.7330756187438965;[108.75428771972656, 106.18988800048828, 296.9183349609375, 378.1744384765625]
image_005.jpg;chair;0.42541471123695374;[348.7161560058594, 152.36558532714844, 400.49365234375, 234.47528076171875]
image_005.jpg;car;0.25979045033454895;[1.1965774297714233, 1.3793319463729858, 457.5193786621094, 383.8401794433594]
image_006.jpg;suitcase;0.6600810885429382;[111.9208984375, 109.322021484375, 296.2330627441406, 377.45794677734375]
image_006.jpg;car;0.48865559697151184;[1.4060150384902954, 1.8343597650527954, 457.2581787109375, 390.81463623046875]
image_006.jpg;chair;0.28297698497772217;[346.31689453125, 151.5336456298828, 401.1313781738281, 234.28179931640625]
